season,home_team,away_team
2025,Oklahoma City Thunder,Indiana Pacers
2025,Indiana Pacers,Oklahoma City Thunder
2025,Oklahoma City Thunder,Indiana Pacers
2025,Indiana Pacers,Oklahoma City Thunder
2025,Indiana Pacers,Oklahoma City Thunder
2025,Oklahoma City Thunder,Indiana Pacers
2025,Oklahoma City Thunder,Indiana Pacers
2025,Indiana Pacers,New York Knicks
2025,New York Knicks,Indiana Pacers
2025,Oklahoma City Thunder,Minnesota Timberwolves
2025,Indiana Pacers,New York Knicks
2025,Minnesota Timberwolves,Oklahoma City Thunder
2025,Indiana Pacers,New York Knicks
2025,Minnesota Timberwolves,Oklahoma City Thunder
2025,New York Knicks,Indiana Pacers
2025,Oklahoma City Thunder,Minnesota Timberwolves
2025,New York Knicks,Indiana Pacers
2025,Oklahoma City Thunder,Minnesota Timberwolves
2025,Oklahoma City Thunder,Denver Nuggets
2025,New York Knicks,Boston Celtics
2025,Denver Nuggets,Oklahoma City Thunder
2025,Minnesota Timberwolves,Golden State Warriors
2025,Boston Celtics,New York Knicks
2025,Oklahoma City Thunder,Denver Nuggets
2025,Cleveland Cavaliers,Indiana Pacers
2025,Golden State Warriors,Minnesota Timberwolves
2025,New York Knicks,Boston Celtics
2025,Indiana Pacers,Cleveland Cavaliers
2025,Denver Nuggets,Oklahoma City Thunder
2025,Golden State Warriors,Minnesota Timberwolves
2025,New York Knicks,Boston Celtics
2025,Denver Nuggets,Oklahoma City Thunder
2025,Indiana Pacers,Cleveland Cavaliers
2025,Minnesota Timberwolves,Golden State Warriors
2025,Oklahoma City Thunder,Denver Nuggets
2025,Boston Celtics,New York Knicks
2025,Minnesota Timberwolves,Golden State Warriors
2025,Cleveland Cavaliers,Indiana Pacers
2025,Oklahoma City Thunder,Denver Nuggets
2025,Boston Celtics,New York Knicks
2025,Houston Rockets,Golden State Warriors
2025,Cleveland Cavaliers,Indiana Pacers
2025,Denver Nuggets,Los Angeles Clippers
2025,Golden State Warriors,Houston Rockets
2025,Los Angeles Clippers,Denver Nuggets
2025,Detroit Pistons,New York Knicks
2025,Los Angeles Lakers,Minnesota Timberwolves
2025,Houston Rockets,Golden State Warriors
2025,Denver Nuggets,Los Angeles Clippers
2025,Boston Celtics,Orlando Magic
2025,New York Knicks,Detroit Pistons
2025,Indiana Pacers,Milwaukee Bucks
2025,Golden State Warriors,Houston Rockets
2025,Miami Heat,Cleveland Cavaliers
2025,Milwaukee Bucks,Indiana Pacers
2025,Orlando Magic,Boston Celtics
2025,Minnesota Timberwolves,Los Angeles Lakers
2025,Detroit Pistons,New York Knicks
2025,Golden State Warriors,Houston Rockets
2025,Los Angeles Clippers,Denver Nuggets
2025,Memphis Grizzlies,Oklahoma City Thunder
2025,Miami Heat,Cleveland Cavaliers
2025,Minnesota Timberwolves,Los Angeles Lakers
2025,Milwaukee Bucks,Indiana Pacers
2025,Orlando Magic,Boston Celtics
2025,Los Angeles Clippers,Denver Nuggets
2025,Memphis Grizzlies,Oklahoma City Thunder
2025,Detroit Pistons,New York Knicks
2025,Houston Rockets,Golden State Warriors
2025,Cleveland Cavaliers,Miami Heat
2025,Boston Celtics,Orlando Magic
2025,Los Angeles Lakers,Minnesota Timberwolves
2025,Oklahoma City Thunder,Memphis Grizzlies
2025,Indiana Pacers,Milwaukee Bucks
2025,Denver Nuggets,Los Angeles Clippers
2025,New York Knicks,Detroit Pistons
2025,Houston Rockets,Golden State Warriors
2025,Cleveland Cavaliers,Miami Heat
2025,Boston Celtics,Orlando Magic
2025,Oklahoma City Thunder,Memphis Grizzlies
2025,Los Angeles Lakers,Minnesota Timberwolves
2025,New York Knicks,Detroit Pistons
2025,Denver Nuggets,Los Angeles Clippers
2025,Indiana Pacers,Milwaukee Bucks
2025,Memphis Grizzlies,Dallas Mavericks
2025,Atlanta Hawks,Miami Heat
2025,Sacramento Kings,Dallas Mavericks
2025,Chicago Bulls,Miami Heat
2025,Golden State Warriors,Memphis Grizzlies
2025,Orlando Magic,Atlanta Hawks
2025,Houston Rockets,Denver Nuggets
2025,Memphis Grizzlies,Dallas Mavericks
2025,Minnesota Timberwolves,Utah Jazz
2025,New Orleans Pelicans,Oklahoma City Thunder
2025,San Antonio Spurs,Toronto Raptors
2025,Golden State Warriors,Los Angeles Clippers
2025,Sacramento Kings,Phoenix Suns
2025,Atlanta Hawks,Orlando Magic
2025,Boston Celtics,Charlotte Hornets
2025,Brooklyn Nets,New York Knicks
2025,Cleveland Cavaliers,Indiana Pacers
2025,Miami Heat,Washington Wizards
2025,Philadelphia 76ers,Chicago Bulls
2025,Milwaukee Bucks,Detroit Pistons
2025,Los Angeles Lakers,Houston Rockets
2025,Phoenix Suns,San Antonio Spurs
2025,Sacramento Kings,Los Angeles Clippers
2025,Utah Jazz,Oklahoma City Thunder
2025,Minnesota Timberwolves,Brooklyn Nets
2025,Denver Nuggets,Memphis Grizzlies
2025,Dallas Mavericks,Toronto Raptors
2025,Chicago Bulls,Washington Wizards
2025,New Orleans Pelicans,Miami Heat
2025,Boston Celtics,Charlotte Hornets
2025,New York Knicks,Cleveland Cavaliers
2025,Detroit Pistons,Milwaukee Bucks
2025,Indiana Pacers,Orlando Magic
2025,Philadelphia 76ers,Atlanta Hawks
2025,Memphis Grizzlies,Minnesota Timberwolves
2025,Milwaukee Bucks,New Orleans Pelicans
2025,Brooklyn Nets,Atlanta Hawks
2025,Detroit Pistons,New York Knicks
2025,Indiana Pacers,Cleveland Cavaliers
2025,Los Angeles Clippers,Houston Rockets
2025,Golden State Warriors,San Antonio Spurs
2025,Phoenix Suns,Oklahoma City Thunder
2025,Sacramento Kings,Denver Nuggets
2025,Chicago Bulls,Miami Heat
2025,Toronto Raptors,Charlotte Hornets
2025,Dallas Mavericks,Los Angeles Lakers
2025,Orlando Magic,Boston Celtics
2025,Washington Wizards,Philadelphia 76ers
2025,Los Angeles Clippers,San Antonio Spurs
2025,Phoenix Suns,Golden State Warriors
2025,Milwaukee Bucks,Minnesota Timberwolves
2025,Oklahoma City Thunder,Los Angeles Lakers
2025,Brooklyn Nets,New Orleans Pelicans
2025,New York Knicks,Boston Celtics
2025,Charlotte Hornets,Memphis Grizzlies
2025,Cleveland Cavaliers,Chicago Bulls
2025,Indiana Pacers,Washington Wizards
2025,Orlando Magic,Atlanta Hawks
2025,Miami Heat,Philadelphia 76ers
2025,Detroit Pistons,Sacramento Kings
2025,Golden State Warriors,Houston Rockets
2025,Denver Nuggets,Indiana Pacers
2025,New York Knicks,Phoenix Suns
2025,Atlanta Hawks,Utah Jazz
2025,Boston Celtics,Washington Wizards
2025,Cleveland Cavaliers,Sacramento Kings
2025,Brooklyn Nets,Toronto Raptors
2025,Oklahoma City Thunder,Los Angeles Lakers
2025,Charlotte Hornets,Chicago Bulls
2025,Los Angeles Clippers,Dallas Mavericks
2025,Miami Heat,Milwaukee Bucks
2025,Detroit Pistons,Memphis Grizzlies
2025,Philadelphia 76ers,Minnesota Timberwolves
2025,Atlanta Hawks,New York Knicks
2025,Los Angeles Lakers,New Orleans Pelicans
2025,Los Angeles Clippers,Dallas Mavericks
2025,Golden State Warriors,Denver Nuggets
2025,Houston Rockets,Oklahoma City Thunder
2025,San Antonio Spurs,Cleveland Cavaliers
2025,Boston Celtics,Phoenix Suns
2025,Toronto Raptors,Detroit Pistons
2025,Charlotte Hornets,Sacramento Kings
2025,Indiana Pacers,Utah Jazz
2025,Los Angeles Lakers,Golden State Warriors
2025,Brooklyn Nets,Minnesota Timberwolves
2025,Miami Heat,Memphis Grizzlies
2025,Washington Wizards,Orlando Magic
2025,Philadelphia 76ers,Milwaukee Bucks
2025,Los Angeles Clippers,New Orleans Pelicans
2025,Oklahoma City Thunder,Detroit Pistons
2025,Denver Nuggets,San Antonio Spurs
2025,Dallas Mavericks,Atlanta Hawks
2025,Houston Rockets,Utah Jazz
2025,Boston Celtics,Miami Heat
2025,Cleveland Cavaliers,New York Knicks
2025,Indiana Pacers,Charlotte Hornets
2025,Washington Wizards,Sacramento Kings
2025,Denver Nuggets,Minnesota Timberwolves
2025,San Antonio Spurs,Orlando Magic
2025,Chicago Bulls,Toronto Raptors
2025,Memphis Grizzlies,Golden State Warriors
2025,New York Knicks,Philadelphia 76ers
2025,Milwaukee Bucks,Phoenix Suns
2025,Los Angeles Lakers,Houston Rockets
2025,Dallas Mavericks,Brooklyn Nets
2025,Oklahoma City Thunder,Chicago Bulls
2025,Memphis Grizzlies,Boston Celtics
2025,Charlotte Hornets,Utah Jazz
2025,Indiana Pacers,Sacramento Kings
2025,Orlando Magic,Los Angeles Clippers
2025,Washington Wizards,Miami Heat
2025,Phoenix Suns,Houston Rockets
2025,Philadelphia 76ers,Toronto Raptors
2025,Milwaukee Bucks,Atlanta Hawks
2025,Minnesota Timberwolves,Detroit Pistons
2025,New Orleans Pelicans,Charlotte Hornets
2025,San Antonio Spurs,Golden State Warriors
2025,Cleveland Cavaliers,Los Angeles Clippers
2025,Chicago Bulls,Dallas Mavericks
2025,Memphis Grizzlies,Los Angeles Lakers
2025,Oklahoma City Thunder,Indiana Pacers
2025,San Antonio Spurs,Boston Celtics
2025,Philadelphia 76ers,Miami Heat
2025,Washington Wizards,Brooklyn Nets
2025,Orlando Magic,Sacramento Kings
2025,Denver Nuggets,Utah Jazz
2025,Milwaukee Bucks,New York Knicks
2025,Minnesota Timberwolves,Phoenix Suns
2025,New Orleans Pelicans,Golden State Warriors
2025,Brooklyn Nets,Los Angeles Clippers
2025,Toronto Raptors,Charlotte Hornets
2025,Detroit Pistons,Cleveland Cavaliers
2025,Utah Jazz,Houston Rockets
2025,Chicago Bulls,Los Angeles Lakers
2025,Oklahoma City Thunder,Memphis Grizzlies
2025,Miami Heat,Atlanta Hawks
2025,Cleveland Cavaliers,San Antonio Spurs
2025,Orlando Magic,Dallas Mavericks
2025,Washington Wizards,Indiana Pacers
2025,Phoenix Suns,Boston Celtics
2025,Denver Nuggets,Milwaukee Bucks
2025,Brooklyn Nets,Toronto Raptors
2025,Indiana Pacers,Los Angeles Lakers
2025,New York Knicks,Los Angeles Clippers
2025,Philadelphia 76ers,Washington Wizards
2025,Sacramento Kings,Oklahoma City Thunder
2025,Utah Jazz,Memphis Grizzlies
2025,Houston Rockets,Atlanta Hawks
2025,Miami Heat,Golden State Warriors
2025,New York Knicks,Dallas Mavericks
2025,Charlotte Hornets,Orlando Magic
2025,Detroit Pistons,San Antonio Spurs
2025,Phoenix Suns,Milwaukee Bucks
2025,Sacramento Kings,Boston Celtics
2025,Denver Nuggets,Chicago Bulls
2025,New Orleans Pelicans,Philadelphia 76ers
2025,Brooklyn Nets,Dallas Mavericks
2025,Indiana Pacers,Minnesota Timberwolves
2025,Orlando Magic,Los Angeles Lakers
2025,Washington Wizards,Toronto Raptors
2025,Los Angeles Clippers,Oklahoma City Thunder
2025,Houston Rockets,Denver Nuggets
2025,Atlanta Hawks,Philadelphia 76ers
2025,Miami Heat,Charlotte Hornets
2025,Toronto Raptors,San Antonio Spurs
2025,Utah Jazz,Cleveland Cavaliers
2025,Detroit Pistons,New Orleans Pelicans
2025,Los Angeles Lakers,Chicago Bulls
2025,Sacramento Kings,Milwaukee Bucks
2025,New York Knicks,Washington Wizards
2025,Atlanta Hawks,Golden State Warriors
2025,Indiana Pacers,Brooklyn Nets
2025,Los Angeles Clippers,Memphis Grizzlies
2025,Phoenix Suns,Cleveland Cavaliers
2025,Utah Jazz,Boston Celtics
2025,Dallas Mavericks,Detroit Pistons
2025,Miami Heat,Houston Rockets
2025,Minnesota Timberwolves,New Orleans Pelicans
2025,Oklahoma City Thunder,Charlotte Hornets
2025,San Antonio Spurs,Philadelphia 76ers
2025,Washington Wizards,Orlando Magic
2025,Los Angeles Lakers,Milwaukee Bucks
2025,Golden State Warriors,Toronto Raptors
2025,Sacramento Kings,Chicago Bulls
2025,Charlotte Hornets,New York Knicks
2025,Indiana Pacers,Brooklyn Nets
2025,Los Angeles Lakers,Denver Nuggets
2025,Phoenix Suns,Chicago Bulls
2025,Sacramento Kings,Cleveland Cavaliers
2025,Utah Jazz,Washington Wizards
2025,Minnesota Timberwolves,New Orleans Pelicans
2025,Oklahoma City Thunder,Philadelphia 76ers
2025,San Antonio Spurs,New York Knicks
2025,Miami Heat,Detroit Pistons
2025,Indiana Pacers,Dallas Mavericks
2025,Orlando Magic,Houston Rockets
2025,Los Angeles Clippers,Cleveland Cavaliers
2025,Golden State Warriors,Milwaukee Bucks
2025,Boston Celtics,Brooklyn Nets
2025,Charlotte Hornets,Atlanta Hawks
2025,Golden State Warriors,Denver Nuggets
2025,Phoenix Suns,Toronto Raptors
2025,Sacramento Kings,Memphis Grizzlies
2025,Utah Jazz,Chicago Bulls
2025,Houston Rockets,Philadelphia 76ers
2025,Minnesota Timberwolves,Indiana Pacers
2025,New Orleans Pelicans,Detroit Pistons
2025,New York Knicks,Miami Heat
2025,Milwaukee Bucks,Oklahoma City Thunder
2025,Minnesota Timberwolves,Utah Jazz
2025,Brooklyn Nets,Atlanta Hawks
2025,Los Angeles Lakers,Phoenix Suns
2025,Dallas Mavericks,Philadelphia 76ers
2025,Cleveland Cavaliers,Orlando Magic
2025,Denver Nuggets,Washington Wizards
2025,San Antonio Spurs,New Orleans Pelicans
2025,Golden State Warriors,New York Knicks
2025,Houston Rockets,Chicago Bulls
2025,Memphis Grizzlies,Miami Heat
2025,Milwaukee Bucks,Indiana Pacers
2025,Detroit Pistons,Oklahoma City Thunder
2025,Brooklyn Nets,Boston Celtics
2025,Phoenix Suns,Sacramento Kings
2025,Denver Nuggets,Los Angeles Lakers
2025,Utah Jazz,Toronto Raptors
2025,Houston Rockets,Dallas Mavericks
2025,Memphis Grizzlies,Cleveland Cavaliers
2025,Minnesota Timberwolves,Orlando Magic
2025,San Antonio Spurs,Charlotte Hornets
2025,Atlanta Hawks,Los Angeles Clippers
2025,Miami Heat,Boston Celtics
2025,Philadelphia 76ers,Indiana Pacers
2025,Golden State Warriors,Sacramento Kings
2025,Chicago Bulls,Brooklyn Nets
2025,New Orleans Pelicans,Orlando Magic
2025,Milwaukee Bucks,Los Angeles Lakers
2025,Detroit Pistons,Washington Wizards
2025,Denver Nuggets,Minnesota Timberwolves
2025,Miami Heat,Los Angeles Clippers
2025,Houston Rockets,Phoenix Suns
2025,Memphis Grizzlies,Utah Jazz
2025,San Antonio Spurs,Dallas Mavericks
2025,Atlanta Hawks,Charlotte Hornets
2025,Boston Celtics,Oklahoma City Thunder
2025,Toronto Raptors,Philadelphia 76ers
2025,New Orleans Pelicans,Los Angeles Clippers
2025,Indiana Pacers,Milwaukee Bucks
2025,Cleveland Cavaliers,Brooklyn Nets
2025,Detroit Pistons,Washington Wizards
2025,Sacramento Kings,New York Knicks
2025,San Antonio Spurs,Dallas Mavericks
2025,Chicago Bulls,Indiana Pacers
2025,Houston Rockets,Orlando Magic
2025,Memphis Grizzlies,Phoenix Suns
2025,Oklahoma City Thunder,Denver Nuggets
2025,Atlanta Hawks,Philadelphia 76ers
2025,Boston Celtics,Utah Jazz
2025,Brooklyn Nets,Los Angeles Lakers
2025,Miami Heat,Charlotte Hornets
2025,Toronto Raptors,Washington Wizards
2025,Los Angeles Clippers,Sacramento Kings
2025,Milwaukee Bucks,Cleveland Cavaliers
2025,Minnesota Timberwolves,San Antonio Spurs
2025,Philadelphia 76ers,Utah Jazz
2025,New Orleans Pelicans,Memphis Grizzlies
2025,Dallas Mavericks,Phoenix Suns
2025,Oklahoma City Thunder,Denver Nuggets
2025,Boston Celtics,Los Angeles Lakers
2025,Golden State Warriors,Detroit Pistons
2025,Miami Heat,Chicago Bulls
2025,Milwaukee Bucks,Orlando Magic
2025,Atlanta Hawks,Indiana Pacers
2025,Toronto Raptors,Washington Wizards
2025,Houston Rockets,New Orleans Pelicans
2025,Charlotte Hornets,Brooklyn Nets
2025,Los Angeles Clippers,New York Knicks
2025,Denver Nuggets,Phoenix Suns
2025,Sacramento Kings,San Antonio Spurs
2025,Miami Heat,Minnesota Timberwolves
2025,Toronto Raptors,Utah Jazz
2025,Dallas Mavericks,Memphis Grizzlies
2025,Charlotte Hornets,Cleveland Cavaliers
2025,Los Angeles Lakers,New York Knicks
2025,New Orleans Pelicans,Houston Rockets
2025,Atlanta Hawks,Indiana Pacers
2025,Boston Celtics,Philadelphia 76ers
2025,Brooklyn Nets,Golden State Warriors
2025,Orlando Magic,Chicago Bulls
2025,Los Angeles Clippers,Detroit Pistons
2025,Memphis Grizzlies,Oklahoma City Thunder
2025,Denver Nuggets,Sacramento Kings
2025,Milwaukee Bucks,Dallas Mavericks
2025,Charlotte Hornets,Minnesota Timberwolves
2025,Cleveland Cavaliers,Miami Heat
2025,Washington Wizards,Utah Jazz
2025,Los Angeles Lakers,New Orleans Pelicans
2025,Phoenix Suns,Los Angeles Clippers
2025,San Antonio Spurs,Brooklyn Nets
2025,Chicago Bulls,Cleveland Cavaliers
2025,Minnesota Timberwolves,Philadelphia 76ers
2025,Atlanta Hawks,Milwaukee Bucks
2025,New York Knicks,Golden State Warriors
2025,Indiana Pacers,Houston Rockets
2025,Orlando Magic,Toronto Raptors
2025,Utah Jazz,Detroit Pistons
2025,Dallas Mavericks,Sacramento Kings
2025,Memphis Grizzlies,Atlanta Hawks
2025,Oklahoma City Thunder,Houston Rockets
2025,Miami Heat,Washington Wizards
2025,Charlotte Hornets,Golden State Warriors
2025,Phoenix Suns,Minnesota Timberwolves
2025,Los Angeles Lakers,Los Angeles Clippers
2025,Utah Jazz,New Orleans Pelicans
2025,San Antonio Spurs,Oklahoma City Thunder
2025,Miami Heat,New York Knicks
2025,Orlando Magic,Toronto Raptors
2025,Indiana Pacers,Chicago Bulls
2025,Boston Celtics,Denver Nuggets
2025,Philadelphia 76ers,Golden State Warriors
2025,Dallas Mavericks,Milwaukee Bucks
2025,Houston Rockets,Sacramento Kings
2025,Memphis Grizzlies,San Antonio Spurs
2025,Detroit Pistons,Brooklyn Nets
2025,Charlotte Hornets,Washington Wizards
2025,Los Angeles Lakers,Los Angeles Clippers
2025,Utah Jazz,Minnesota Timberwolves
2025,Phoenix Suns,New Orleans Pelicans
2025,Miami Heat,Indiana Pacers
2025,Chicago Bulls,Toronto Raptors
2025,Memphis Grizzlies,New York Knicks
2025,Atlanta Hawks,Oklahoma City Thunder
2025,Boston Celtics,Cleveland Cavaliers
2025,Detroit Pistons,Denver Nuggets
2025,Los Angeles Lakers,Minnesota Timberwolves
2025,Phoenix Suns,New Orleans Pelicans
2025,Dallas Mavericks,Charlotte Hornets
2025,Milwaukee Bucks,Denver Nuggets
2025,Orlando Magic,Golden State Warriors
2025,Houston Rockets,San Antonio Spurs
2025,Utah Jazz,Sacramento Kings
2025,Chicago Bulls,Los Angeles Clippers
2025,Brooklyn Nets,Oklahoma City Thunder
2025,Miami Heat,Atlanta Hawks
2025,Detroit Pistons,Boston Celtics
2025,Indiana Pacers,Toronto Raptors
2025,New York Knicks,Philadelphia 76ers
2025,Golden State Warriors,Charlotte Hornets
2025,Los Angeles Lakers,Dallas Mavericks
2025,Houston Rockets,Milwaukee Bucks
2025,Memphis Grizzlies,Phoenix Suns
2025,New Orleans Pelicans,San Antonio Spurs
2025,Orlando Magic,Cleveland Cavaliers
2025,Toronto Raptors,Boston Celtics
2025,Sacramento Kings,Charlotte Hornets
2025,Oklahoma City Thunder,Minnesota Timberwolves
2025,Atlanta Hawks,Miami Heat
2025,Detroit Pistons,Los Angeles Clippers
2025,Indiana Pacers,Denver Nuggets
2025,Philadelphia 76ers,Chicago Bulls
2025,Washington Wizards,Brooklyn Nets
2025,Minnesota Timberwolves,Oklahoma City Thunder
2025,New Orleans Pelicans,San Antonio Spurs
2025,Cleveland Cavaliers,Memphis Grizzlies
2025,Atlanta Hawks,Detroit Pistons
2025,Orlando Magic,Washington Wizards
2025,Toronto Raptors,Phoenix Suns
2025,Milwaukee Bucks,Miami Heat
2025,Indiana Pacers,Los Angeles Clippers
2025,Golden State Warriors,Dallas Mavericks
2025,Boston Celtics,New York Knicks
2025,Utah Jazz,Houston Rockets
2025,Denver Nuggets,Los Angeles Lakers
2025,Philadelphia 76ers,Brooklyn Nets
2025,Chicago Bulls,Phoenix Suns
2025,Sacramento Kings,Golden State Warriors
2025,Houston Rockets,Minnesota Timberwolves
2025,Utah Jazz,Oklahoma City Thunder
2025,San Antonio Spurs,Detroit Pistons
2025,Dallas Mavericks,New Orleans Pelicans
2025,Toronto Raptors,Miami Heat
2025,Cleveland Cavaliers,New York Knicks
2025,Orlando Magic,Memphis Grizzlies
2025,Washington Wizards,Milwaukee Bucks
2025,San Antonio Spurs,Phoenix Suns
2025,Denver Nuggets,Charlotte Hornets
2025,Milwaukee Bucks,Los Angeles Clippers
2025,Atlanta Hawks,Orlando Magic
2025,Brooklyn Nets,Cleveland Cavaliers
2025,New York Knicks,Chicago Bulls
2025,Indiana Pacers,Memphis Grizzlies
2025,Philadelphia 76ers,Boston Celtics
2025,Utah Jazz,Los Angeles Clippers
2025,Dallas Mavericks,Miami Heat
2025,Minnesota Timberwolves,Oklahoma City Thunder
2025,Houston Rockets,Golden State Warriors
2025,New Orleans Pelicans,Sacramento Kings
2025,Los Angeles Clippers,Memphis Grizzlies
2025,Dallas Mavericks,Golden State Warriors
2025,Utah Jazz,Los Angeles Lakers
2025,Houston Rockets,Phoenix Suns
2025,Chicago Bulls,Detroit Pistons
2025,Minnesota Timberwolves,Milwaukee Bucks
2025,New Orleans Pelicans,Sacramento Kings
2025,Oklahoma City Thunder,Miami Heat
2025,Brooklyn Nets,Philadelphia 76ers
2025,New York Knicks,Atlanta Hawks
2025,Toronto Raptors,Cleveland Cavaliers
2025,Boston Celtics,San Antonio Spurs
2025,Orlando Magic,Charlotte Hornets
2025,Washington Wizards,Indiana Pacers
2025,Phoenix Suns,Memphis Grizzlies
2025,Chicago Bulls,Detroit Pistons
2025,Indiana Pacers,New York Knicks
2025,Philadelphia 76ers,Toronto Raptors
2025,Los Angeles Lakers,Utah Jazz
2025,Dallas Mavericks,Sacramento Kings
2025,Milwaukee Bucks,Golden State Warriors
2025,Oklahoma City Thunder,New Orleans Pelicans
2025,Brooklyn Nets,Charlotte Hornets
2025,Miami Heat,Boston Celtics
2025,Cleveland Cavaliers,Minnesota Timberwolves
2025,Orlando Magic,Atlanta Hawks
2025,Washington Wizards,San Antonio Spurs
2025,Houston Rockets,Toronto Raptors
2025,Milwaukee Bucks,Philadelphia 76ers
2025,Detroit Pistons,Charlotte Hornets
2025,Los Angeles Clippers,Utah Jazz
2025,Sacramento Kings,New Orleans Pelicans
2025,Phoenix Suns,Denver Nuggets
2025,New York Knicks,Boston Celtics
2025,Chicago Bulls,Golden State Warriors
2025,Memphis Grizzlies,Oklahoma City Thunder
2025,Orlando Magic,San Antonio Spurs
2025,Washington Wizards,Atlanta Hawks
2025,Los Angeles Lakers,Indiana Pacers
2025,Dallas Mavericks,Houston Rockets
2025,Phoenix Suns,Utah Jazz
2025,Oklahoma City Thunder,Toronto Raptors
2025,Atlanta Hawks,Milwaukee Bucks
2025,Brooklyn Nets,Miami Heat
2025,Detroit Pistons,Philadelphia 76ers
2025,Charlotte Hornets,San Antonio Spurs
2025,Washington Wizards,Cleveland Cavaliers
2025,Los Angeles Clippers,Indiana Pacers
2025,Los Angeles Lakers,Golden State Warriors
2025,Denver Nuggets,Orlando Magic
2025,Minnesota Timberwolves,Houston Rockets
2025,Boston Celtics,Dallas Mavericks
2025,Sacramento Kings,Orlando Magic
2025,Oklahoma City Thunder,Phoenix Suns
2025,Utah Jazz,Golden State Warriors
2025,Denver Nuggets,New Orleans Pelicans
2025,Minnesota Timberwolves,Chicago Bulls
2025,Brooklyn Nets,Washington Wizards
2025,Philadelphia 76ers,Miami Heat
2025,Toronto Raptors,Memphis Grizzlies
2025,Charlotte Hornets,Milwaukee Bucks
2025,Detroit Pistons,Cleveland Cavaliers
2025,Atlanta Hawks,San Antonio Spurs
2025,Los Angeles Clippers,Los Angeles Lakers
2025,Chicago Bulls,Miami Heat
2025,Cleveland Cavaliers,Boston Celtics
2025,Brooklyn Nets,Houston Rockets
2025,Toronto Raptors,New York Knicks
2025,Philadelphia 76ers,Dallas Mavericks
2025,Golden State Warriors,Orlando Magic
2025,Denver Nuggets,New Orleans Pelicans
2025,Utah Jazz,Indiana Pacers
2025,Memphis Grizzlies,San Antonio Spurs
2025,Minnesota Timberwolves,Sacramento Kings
2025,Oklahoma City Thunder,Milwaukee Bucks
2025,New York Knicks,Houston Rockets
2025,Charlotte Hornets,Washington Wizards
2025,Detroit Pistons,Atlanta Hawks
2025,Milwaukee Bucks,Memphis Grizzlies
2025,Philadelphia 76ers,Boston Celtics
2025,Cleveland Cavaliers,Dallas Mavericks
2025,Toronto Raptors,Los Angeles Clippers
2025,Detroit Pistons,Chicago Bulls
2025,New York Knicks,Los Angeles Lakers
2025,San Antonio Spurs,Miami Heat
2025,Houston Rockets,Brooklyn Nets
2025,Minnesota Timberwolves,Washington Wizards
2025,Oklahoma City Thunder,Sacramento Kings
2025,Charlotte Hornets,Denver Nuggets
2025,Indiana Pacers,Atlanta Hawks
2025,Utah Jazz,Orlando Magic
2025,Golden State Warriors,Phoenix Suns
2025,New Orleans Pelicans,Boston Celtics
2025,San Antonio Spurs,Milwaukee Bucks
2025,Philadelphia 76ers,Denver Nuggets
2025,Toronto Raptors,Chicago Bulls
2025,Charlotte Hornets,Los Angeles Clippers
2025,Detroit Pistons,Dallas Mavericks
2025,Memphis Grizzlies,Houston Rockets
2025,Utah Jazz,Minnesota Timberwolves
2025,Washington Wizards,Los Angeles Lakers
2025,Cleveland Cavaliers,Atlanta Hawks
2025,Golden State Warriors,Oklahoma City Thunder
2025,Phoenix Suns,Minnesota Timberwolves
2025,New Orleans Pelicans,Dallas Mavericks
2025,San Antonio Spurs,Los Angeles Clippers
2025,Boston Celtics,Chicago Bulls
2025,Miami Heat,Cleveland Cavaliers
2025,New York Knicks,Denver Nuggets
2025,Philadelphia 76ers,Sacramento Kings
2025,Charlotte Hornets,Brooklyn Nets
2025,Indiana Pacers,Detroit Pistons
2025,Washington Wizards,Toronto Raptors
2025,Golden State Warriors,Utah Jazz
2025,Philadelphia 76ers,Los Angeles Lakers
2025,Phoenix Suns,Los Angeles Clippers
2025,Utah Jazz,Milwaukee Bucks
2025,Dallas Mavericks,Washington Wizards
2025,Chicago Bulls,Denver Nuggets
2025,Minnesota Timberwolves,Atlanta Hawks
2025,Boston Celtics,Houston Rockets
2025,Brooklyn Nets,Sacramento Kings
2025,Miami Heat,Orlando Magic
2025,New York Knicks,Memphis Grizzlies
2025,Toronto Raptors,New Orleans Pelicans
2025,Charlotte Hornets,Los Angeles Lakers
2025,Cleveland Cavaliers,Detroit Pistons
2025,Los Angeles Clippers,Milwaukee Bucks
2025,Phoenix Suns,Washington Wizards
2025,Golden State Warriors,Los Angeles Lakers
2025,Chicago Bulls,Philadelphia 76ers
2025,Memphis Grizzlies,Utah Jazz
2025,Atlanta Hawks,Toronto Raptors
2025,Cleveland Cavaliers,Houston Rockets
2025,New York Knicks,Sacramento Kings
2025,Charlotte Hornets,New Orleans Pelicans
2025,Orlando Magic,Detroit Pistons
2025,Brooklyn Nets,Miami Heat
2025,Dallas Mavericks,Boston Celtics
2025,Minnesota Timberwolves,Denver Nuggets
2025,San Antonio Spurs,Indiana Pacers
2025,Memphis Grizzlies,New Orleans Pelicans
2025,Philadelphia 76ers,Cleveland Cavaliers
2025,Los Angeles Clippers,Washington Wizards
2025,Golden State Warriors,Chicago Bulls
2025,Los Angeles Lakers,Boston Celtics
2025,Denver Nuggets,Sacramento Kings
2025,Milwaukee Bucks,Miami Heat
2025,Oklahoma City Thunder,Dallas Mavericks
2025,Atlanta Hawks,Toronto Raptors
